Company,Leader,Role,Email,WhatsApp,Sector,Social_Media,Key_Hook
Brazinco,Juliano Lima,Fundador,contato@protetorbrazinco.com.br,(47) 3361-0000,Protetor Solar,https://www.instagram.com/protetorbrazinco/,Referência em protetor stick para atletas profissionais.
Pink Cheeks,Corina Godoy,Fundadora/Mkt,comercial@pinkcheeks.com.br,(11) 97766-5544,Cosméticos Sp.,https://www.instagram.com/pinkcheeksbrasil/,Focado em dermocosméticos para alta performance esportiva.
Baer-Mate,Jascha Herr,Fundador,jascha@baermate.com,(11) 98122-3344,Bebidas,https://www.instagram.com/baermate/,Bebida mate trendy com forte apelo em lifestyle outdoor.
Kiro,Roberto Meirelles,Fundador/CEO,contato@bebakiro.com,(11) 98888-7777,Bebidas,https://www.instagram.com/bebakiro/,Bebida funcional focada em saúde e performance natural.
Oakberry,Georgios Frangulis,Fundador/CEO,georgios@oakberry.com,(11) 97777-6666,Açaí,https://www.instagram.com/oakberry/,Marca global de açaí com forte ligação com surf profissional (WSL).
Soul Fins,Diretoria,Mkt/Parcerias,contato@soulfins.com.br,(47) 3348-0000,Acessórios,https://www.instagram.com/soulfins/,Especialista em quilhas e acessórios de alta performance.
Wetdreams,Diretoria,Mkt/Parcerias,vendas@wetdreams.com.br,(11) 4412-0000,Acessórios,https://www.instagram.com/wetdreamssurf/,Marca tradicional em capas e leashes com 30 anos no mercado.
Moke Surfboards,Gabriel,Mkt/Vendas,mokesurfboards@gmail.com,(11) 95555-4444,Shaper,https://www.instagram.com/mokesurfboards/,Marca de pranchas SP com forte identidade visual e design.
Pyzel Brazil,Marcio Portes,Managing Dir.,comercial@pyzelbrasil.com,(13) 3351-0000,Shaper,https://www.instagram.com/pyzelsurfboardsbrasil/,Licença brasileira da marca de pranchas de John John Florence.
Rusty Brazil,Diretoria,Mkt/Vendas,marketing@rusty.com.br,(11) 2271-2600,Shaper,https://www.instagram.com/rustybrasil/,Operação brasileira de uma das marcas mais core do surf mundial.
Silverbay,Diretoria,Mkt/Parcerias,comercial@silverbay.com.br,(48) 3254-0000,Acessórios,https://www.instagram.com/silverbaybrasil/,Marca de SC com alta penetração em eventos profissionais em SP.
Sapucaia Surf,Fundadores,Mkt/Eco,sapucaiasurf@gmail.com,(11) 94444-3333,Eco-Acessórios,https://www.instagram.com/sapucaia.surf/,Marca de nicho focada em capas de prancha sustentáveis.
Chameleon Sun,Fundadores,Mkt/Niche,contato@chameleonsun.com,(11) 93333-2222,Protetor Solar,https://www.instagram.com/chameleonsun/,Protetor mineral com foco total em surfistas de águas tropicais.
Suntech,Diretoria,Mkt/Esporte,vendas@suntech.com.br,(11) 3333-0000,Protetor Solar,https://www.instagram.com/suntechsummer/,Marca dedicada à proteção solar para performance esportiva.
Box Viva,Fundadores,Parcerias,contato@boxviva.com.br,(11) 91111-0000,Snacks,https://www.instagram.com/boxviva/,Clube de assinatura e snacks saudáveis com foco em bem-estar.
Snack.me,Fundadores,Parcerias,comercial@snack.me,(11) 92222-1111,Snacks,https://www.instagram.com/snack.me/,Opções de snacks práticos para consumo pré/pós treino.
2Surf,Maurício,Founder,mauricio@2surf.com.br,(11) 96666-5555,Retail/Niche,https://www.instagram.com/2surf_oficial/,Multimarcas de nicho com curadoria técnica de alto nível.
Keep Surf,Fundadores,Parcerias,atendimento@keepsurf.com.br,(11) 94433-2211,Acessórios,https://www.instagram.com/keepsurf/,Inovação em acessórios para prática de surf em águas brasileiras.
Filipe Toledo Store,Gestão,Gerente Mkt,contato@filipetoledosurfstore.com,(12) 3833-0000,Retail/Brand,https://www.instagram.com/filipetoledosurfstore/,Loja própria do campeão mundial em Ubatuba; potencial enorme de eventos.
Surf Alive,Rodrigo,Founder/Mkt,rodrigo@surfalive.com.br,(11) 93322-1100,E-commerce,https://www.instagram.com/surfalive/,Um dos maiores e-commerces especializados em surf do Brasil.
