Nome,Pousada,e-mail,Whatsapp,Quant. quartos,Local,Cidade,UF
Village Praia do Rosa,Village Praia do Rosa,atendimento@villagerosa.com,(48) 99601-7788,Várias casas/suítes,Praia do Rosa,Imbituba,SC
Pousada Kauai,Pousada Kauai,pousadakauai@gmail.com,(48) 99841-0121,-,Praia do Rosa,Imbituba,SC
Pousada Hanalie,Pousada Hanalie,hanaliepousada@gmail.com,(48) 2108-1186,-,Praia do Rosa,Imbituba,SC
Hotel Praia do Rosa,Hotel Praia do Rosa,contato@hotelpraiadorosa.com.br,(48) 99119-3330,-,Praia do Rosa,Imbituba,SC
Pousada Pedra Grande,Pousada Pedra Grande,reservas@pousadapedragrande.com.br,(48) 99169-9199,-,Praia do Rosa,Imbituba,SC
Pousada Vida Sol e Mar EcoResort,Pousada Vida Sol e Mar EcoResort,contato@vidasolemar.com.br,(48) 99981-0592,13 villas,Praia do Rosa,Imbituba,SC
Pousada Areias do Rosa,Pousada Areias do Rosa,reservas@pousadaareiasdorosa.com.br,(48) 3355-7267,-,Praia do Rosa,Imbituba,SC
Pousada Solar dos Lírios,Pousada Solar dos Lírios,contato@pousadasolardoslirios.com.br,(48) 98484-2441,13,Praia do Rosa,Imbituba,SC
Casa dos Ventos,Casa dos Ventos,casadosventos.sc@gmail.com,(48) 99124-2925,2,Praia do Rosa,Imbituba,SC
Rosa da Praia Pousada,Rosa da Praia Pousada,rosadapraia@gmail.com,(48) 99115-0412,9,Praia do Rosa,Imbituba,SC
Morada Amazona,Morada Amazona,amazona.praiadorosa@gmail.com,(48) 99188-4442,-,Praia do Rosa,Imbituba,SC
Pueblo Rosa Norte,Pueblo Rosa Norte,pueblorosanorte@gmail.com,(48) 99104-5858,10 suítes,Praia do Rosa,Imbituba,SC
Pousada Santa Mônica,Pousada Santa Mônica,santamonicahospedaria@gmail.com,(48) 99649-4373,-,Praia do Rosa,Imbituba,SC
Bangalô House,Bangalô House,bangalohouse@gmail.com,(48) 99192-8400,-,Praia do Rosa,Imbituba,SC
Pousada Rosa Sul,Pousada Rosa Sul,reservas@rosasul.com.br,(48) 98862-1957,-,Praia do Rosa,Imbituba,SC
Pousada Descanso do Rei,Pousada Descanso do Rei,atendimento@descansodorei.com.br,(48) 99864-1316,10 units,Praia do Rosa,Imbituba,SC
Pousada Rosa Bonita,Pousada Rosa Bonita,pousada.rosabonita@hotmail.com,(51) 99324-5515,20 rooms,Praia do Rosa,Imbituba,SC
Pousada Villa Buena Vista,Pousada Villa Buena Vista,contato@villabuenavista.com.br,(48) 99126-2244,10 suites,Praia do Rosa,Imbituba,SC
Fazenda do Rosa,Fazenda do Rosa,reservas@fazendadorosa.com.br,(48) 99635-4389,~15 units,Praia do Rosa,Imbituba,SC
Pousada Caminho do Rei,Pousada Caminho do Rei,contato@caminhodorei.com.br,(48) 99912-1662,12 suites,Praia do Rosa,Imbituba,SC
