ID,Pousada,Email,WhatsApp,Qtd_Quartos,Cidade,UF,Latitude,Longitude,Tier,Funnel,Score_Combinado,Score_Qualificacao,Score_Validacao,Buying_Behavior,Dor_Principal,Local_Praia,Valores_Estimados,Comportamento_Compra,Sinais_Intencao,Redes_Sociais,Validacao,Fonte_Arquivo
1,Pousada Corumbau,reservas@corumbau.com.br,5573999887766,10,Prado,BA,-17.3269,-39.2969,MAX,HOT,100,100,100,Tradicional,desconhecida,Ponta do Corumbau,R$ 1500 - R$ 4000,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadacorumbau,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
2,Pousada Estrela d'Agua,reservas@estreladagua.com.br,557336681030,28,Trancoso,BA,-16.5586,-39.1058,MAX,HOT,100,100,100,Tradicional,desconhecida,Praia dos Nativos,R$ 2000 - R$ 6000,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/estreladagua,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
3,UXUA Casa Hotel & Spa,reservas@uxua.com.br,557336681827,11,Trancoso,BA,-16.5586,-39.1058,MAX,HOT,100,100,100,Tradicional,desconhecida,Quadrado,R$ 3500 - R$ 9000,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/uxua,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
4,Pousada Enseada do Espelho,reservas@enseadadoespelho.com.br,5573999443322,8,Curuípe,BA,-16.6369,-39.1669,MAX,HOT,100,100,100,Tradicional,desconhecida,Praia do Espelho,R$ 2200 - R$ 5500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/enseadadoespelho,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
5,Arraial d'Ajuda Eco Resort,reservas@arraialresort.com.br,557335758500,160,Arraial d'Ajuda,BA,-16.4769,-39.0769,MAX,HOT,100,100,100,Tradicional,desconhecida,Ponta do Apaga Fogo,R$ 1200 - R$ 3500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/arraialecoresort,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
6,Kûara Hotel,reservas@kuarahotel.com.br,557335751010,46,Arraial d'Ajuda,BA,-16.4769,-39.0769,MAX,HOT,100,100,100,Tradicional,desconhecida,Praia da Pitinga,R$ 2500 - R$ 7000,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/kuarahotel,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
7,Hotel Fasano Salvador,salvador@fasano.com.br,557132415300,70,Salvador,BA,-12.9714,-38.5124,MAX,HOT,100,100,100,Tradicional,desconhecida,Centro Historico,R$ 2000 - R$ 5000,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/fasano,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
8,Pousada Vila dos Orixás,contato@viladosorixas.com.br,557336521515,10,Morro de São Paulo,BA,-13.2969,-38.9169,MAX,HOT,100,100,100,Tradicional,desconhecida,Quinta Praia,R$ 1800 - R$ 4500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/viladosorixas,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
9,Tivoli Ecoresort Praia do Forte,reservas.tepf@tivolihotels.com,557136764000,287,Praia do Forte,BA,-12.7469,-38.0069,MAX,HOT,100,100,100,Tradicional,desconhecida,Beira-Mar,R$ 1800 - R$ 5000,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/tivoliecoresort,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
10,Grand Palladium Imbassaí,reservas@grandpalladium.com.br,557136427272,654,Imbassaí,BA,-12.5869,-38.0769,MAX,HOT,100,100,100,Tradicional,desconhecida,Beira-Mar,R$ 1500 - R$ 4000,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/grandpalladiumimbassai,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
